Rank,Title,basename,Genre,ESRB_Rating,Platform,PublisherName,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,img_url
534,Tom Clancy's Ghost Recon Wildlands,tom-clancys-ghost-recon-wildlands,Shooter,M,PS4,Ubisoft,Ubisoft Paris,7,,,3.12,1.07,1.35,0.22,0.47,2017,https://www.vgchartz.com/games/boxart/full_6335056AmericaFrontccc.jpg
535,NBA 2K13,nba-2k13,Sports,E,X360,2K Sports,Visual Concepts,8.6,,,3.11,2.62,0.21,0.01,0.28,2012,https://www.vgchartz.com/games/boxart/full_3710885AmericaFrontccc.jpg
536,Titanfall,titanfall,Shooter,M,XOne,Electronic Arts,Respawn Entertainment,,,,3.11,1.88,0.91,0.04,0.28,2014,https://www.vgchartz.com/games/boxart/full_8915130AmericaFrontccc.jpg
537,Mario Party 9,mario-party-9,Party,E,Wii,Nintendo,"Nd Cube Co., Ltd.",6.5,,3.11,,,,,,2012,https://www.vgchartz.com/games/boxart/full_mario-party-9_118AmericaFront.jpg
538,Mass Effect 2,mass-effect-2,Role-Playing,M,X360,Electronic Arts,BioWare Edmonton,9.5,8.9,,3.1,1.99,0.81,0.03,0.27,2010,https://www.vgchartz.com/games/boxart/full_7787486AmericaFrontccc.jpg
539,Madden NFL 2002,madden-nfl-2002,Sports,E,PS2,EA Sports,EA Sports,,,,3.08,2.5,0.16,0.01,0.42,2001,https://www.vgchartz.com/games/boxart/2775278ccc.jpg
540,World Class Track Meet,world-class-track-meet,Sports,,NES,Bandai,Bandai,,,3.08,,,,,,1987,https://www.vgchartz.com/games/boxart/1742060ccc.jpg
541,LEGO Batman: The Videogame,lego-batman-the-videogame,Adventure,E10,Wii,Warner Bros. Interactive,Traveller's Tales,7.3,,,3.08,1.8,0.98,,0.29,2008,https://www.vgchartz.com/games/boxart/full_707317AmericaFrontccc.jpg
542,Saints Row 2,saints-row-2,Action,M,X360,THQ,Volition Inc.,7.9,,,3.07,1.98,0.79,0.02,0.28,2008,https://www.vgchartz.com/games/boxart/full_2141889AmericaFrontccc.jpg
543,Donkey Kong,donkey-kong,Platform,E,GB,Nintendo,Nintendo EAD,,,3.07,,,,,,1994,https://www.vgchartz.com/games/boxart/692813ccc.jpg
544,The Sims: Vacation,the-sims-vacation,Simulation,T,PC,Electronic Arts,Maxis,,,,3.07,1.72,1.21,,0.14,2002,https://www.vgchartz.com/games/boxart/718364ccc.jpg
545,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,XOne,Activision,Infinity Ward,7.5,,,3.07,1.92,0.86,,0.28,2013,https://www.vgchartz.com/games/boxart/full_3011020AmericaFrontccc.jpg
546,Heavy Rain,heavy-rain,Adventure,M,PS3,Sony Computer Entertainment,Quantic Dream,8.8,8.6,,3.06,1.29,1.24,0.06,0.48,2010,https://www.vgchartz.com/games/boxart/full_5403728AmericaFrontccc.jpg
547,LEGO Batman: The Videogame,lego-batman-the-videogame,Adventure,E10,DS,Warner Bros. Interactive,Traveller's Tales,7.8,,,3.06,1.75,1.02,,0.29,2008,https://www.vgchartz.com/games/boxart/full_309389AmericaFrontccc.jpg
548,Borderlands 2,borderlands-2,Shooter,,X360,2K Games,Gearbox Software,,,,3.06,1.89,0.88,0.04,0.26,2013,https://www.vgchartz.com/games/boxart/full_3497502PALFrontccc.jpg
549,Kung Fu Panda,kung-fu-panda,Platform,E10,X360,Activision,Luxoflux,7.5,,,3.05,1.91,0.84,,0.29,2008,https://www.vgchartz.com/games/boxart/full_6706395AmericaFrontccc.jpg
